Transaction_ID,Card_Type,Merchant_Category,Transaction_Amount,Transaction_DateTime,City,Country,Cardholder_Age,Cardholder_Gender,Cardholder_Monthly_Income,Cardholder_Average_Spend,Credit_Limit,Device_Type,Day_of_Week,Is_Fraudulent
G775SE48,Visa,Retail,3361.10,07-01-2020 19:39,Paris,France,40,Male,10493,3760.447,10000,Point-of-Sale Terminal,Tuesday,No
D458ZJ45,Mastercard,Online Shopping,5060.10,08-01-2020 14:35,Hong Kong,China,61,Female,11814,5543.58,10000,Desktop,Wednesday,No
U874IJ53,Mastercard,Entertainment,4155.10,09-01-2020 02:02,Hong Kong,China,73,Male,13455,3270.992,10000,Contactless Payment Device,Thursday,No
U862TL39,Visa,Dining,8806.90,09-01-2020 09:46,Paris,France,34,Male,12654,9164.594,15000,Contactless Payment Device,Thursday,No
K600SP98,Mastercard,Entertainment,4006.60,09-01-2020 13:08,Shanghai,China,70,Male,5621,1709.523,5000,Contactless Payment Device,Thursday,No
V952ZM94,Mastercard,Education,4813.60,11-01-2020 04:37,New York,USA,18,,4297,4360.078,5000,Point-of-Sale Terminal,Saturday,No
M619QW83,Visa,Utility bill,2887.90,11-01-2020 05:55,Paris,France,45,Male,10504,2554.132,10000,Desktop,Saturday,No
D345EF37,Visa,Retail,3623.80,11-01-2020 11:48,Sydney,Australia,39,Female,29915,1501.084,20000,Desktop,Saturday,No
R798BS81,American Express,Dining,14289.60,11-01-2020 17:39,London,UK,69,Male,10655,11943.317,15000,Contactless Payment Device,Saturday,No
A109AO45,American Express,Dining,4972.60,11-01-2020 19:34,New York,USA,47,Male,3738,2668.414,5000,Point-of-Sale Terminal,Saturday,No
T374VD63,Visa,Online Shopping,13131.10,12-01-2020 16:31,Paris,France,52,Male,29040,17445.939,20000,Desktop,Sunday,No
G960DQ79,UnionPay,Transportation,5574.00,12-01-2020 19:05,New York,USA,28,Female,27812,4023.757,20000,Contactless Payment Device,Sunday,Yes
S968DK40,Mastercard,Retail,4964.70,12-01-2020 19:41,Dubai,UAE,30,Male,4223,2736.231,5000,Contactless Payment Device,Sunday,No
H633FR55,Visa,Healthcare,6546.90,12-01-2020 20:45,Tokyo,Japan,65,Male,18912,3485.6,15000,Point-of-Sale Terminal,Sunday,No
W930CF35,Visa,Online Shopping,4861.80,13-01-2020 10:54,Dubai,UAE,70,Male,,4381.613,5000,Point-of-Sale Terminal,Monday,No
K438MR76,Mastercard,Online Shopping,5120.50,13-01-2020 11:07,Hong Kong,China,31,Female,12618,4046.863,15000,Contactless Payment Device,Monday,No
O235CR65,Mastercard,Online Shopping,12493.70,13-01-2020 12:10,New York,USA,39,Female,16544,,20000,Contactless Payment Device,Monday,No
R607MR12,Mastercard,Utility bill,18644.00,14-01-2020 07:50,Dubai,UAE,55,Male,27971,14954.217,20000,Contactless Payment Device,Tuesday,No
E838XV96,UnionPay,,6060.80,14-01-2020 12:33,Shanghai,China,37,Female,21094,5272.229,15000,Contactless Payment Device,Tuesday,Yes
X788OZ57,UnionPay,Retail,4045.80,15-01-2020 03:33,Dubai,UAE,60,Male,16999,5281.001,20000,Unknown,Wednesday,No
M530OA96,Mastercard,Education,3135.20,15-01-2020 13:42,Dubai,UAE,37,Male,13694,1368.11,10000,Unknown,Wednesday,Yes
H453DW81,Visa,Online Shopping,4434.70,15-01-2020 16:15,Paris,France,40,Female,8421,5180.338,10000,Unknown,Wednesday,No
D720PB38,Mastercard,Retail,8217.40,15-01-2020 17:11,New York,USA,65,Male,20061,,20000,Contactless Payment Device,Wednesday,Yes
I352LO33,American Express,Dining,11806.60,15-01-2020 23:39,Los Angeles,USA,62,Female,,7713.96,15000,Desktop,Wednesday,No
U126MF74,Visa,Utility bill,3798.80,16-01-2020 14:33,Hong Kong,China,48,Female,14058,2498.596,10000,Point-of-Sale Terminal,Thursday,No
Z101AE11,American Express,Healthcare,9531.40,17-01-2020 07:09,Paris,France,52,Female,8767,8576.551,10000,Point-of-Sale Terminal,Friday,No
A636CG74,Visa,Retail,9735.40,17-01-2020 10:45,New York,USA,52,Female,16228,9199.339,15000,Desktop,Friday,Yes
D652EV83,Visa,Utility bill,3191.70,17-01-2020 13:22,Hong Kong,China,26,Female,4398,4131.131,5000,Mobile,Friday,Yes
L618QT94,Visa,Transportation,7486.90,17-01-2020 23:53,Dubai,UAE,48,Female,10826,10395.584,15000,Desktop,Friday,No
M214ID28,American Express,Entertainment,12650.50,18-01-2020 17:14,Paris,France,55,Male,25346,12910.554,20000,Point-of-Sale Terminal,Saturday,No
D383MN69,Visa,Online Shopping,5056.80,18-01-2020 22:42,Hong Kong,China,62,Female,,2136.747,10000,Point-of-Sale Terminal,Saturday,No
G828SG49,Visa,Online Shopping,12603.80,19-01-2020 10:26,Tokyo,Japan,60,Male,14107,15936.45,20000,Contactless Payment Device,Sunday,Yes
T515NX53,Visa,Healthcare,6750.00,20-01-2020 00:08,Los Angeles,USA,34,Female,8999,6620.054,10000,Unknown,Monday,No
I970BV35,Mastercard,Entertainment,3879.40,20-01-2020 06:26,Paris,France,26,Male,12630,2032.57,15000,Unknown,Monday,No
T215MA69,Mastercard,Healthcare,9950.00,20-01-2020 13:41,London,UK,66,Male,11963,8371.176,10000,Desktop,Monday,No
G118UO76,Visa,Transportation,6527.30,21-01-2020 05:28,Berlin,Germany,57,Male,13231,6881,10000,Unknown,Tuesday,No
K900GN42,American Express,Education,4044.40,21-01-2020 15:42,Shanghai,China,18,Male,7377,3439.941,5000,Unknown,Tuesday,No
M519XW11,UnionPay,Dining,14279.80,22-01-2020 03:31,Toronto,Canada,76,Male,,14575.509,15000,Contactless Payment Device,Wednesday,No
L353SX73,Mastercard,Utility bill,5108.50,22-01-2020 03:54,Chicago,USA,20,Male,13349,2966.679,10000,Mobile,Wednesday,Yes
F600UH92,American Express,Healthcare,12996.80,22-01-2020 11:32,Shanghai,China,37,Female,14525,5275.944,15000,Unknown,Wednesday,No
B964SR36,Mastercard,Education,6909.90,22-01-2020 14:10,Los Angeles,USA,54,,18438,5416.53,20000,Contactless Payment Device,Wednesday,No
M719KG97,Mastercard,Transportation,4052.30,23-01-2020 02:47,Los Angeles,USA,40,Male,10639,1621.511,10000,Desktop,Thursday,No
N544EF67,Visa,Dining,3408.80,23-01-2020 04:34,New York,USA,35,Female,5973,1887.964,5000,Mobile,Thursday,No
O627PD54,Visa,Transportation,11207.10,23-01-2020 09:21,New York,USA,75,Male,15407,7001.33,20000,Point-of-Sale Terminal,Thursday,No
V104OM57,Mastercard,Education,5078.40,23-01-2020 23:07,Paris,France,53,Female,11172,6608.612,10000,Point-of-Sale Terminal,Thursday,No
H843SQ31,American Express,Dining,8489.60,24-01-2020 00:03,Sydney,Australia,21,Male,11249,6932.913,10000,Contactless Payment Device,Friday,No
S166PA70,UnionPay,Education,8197.90,24-01-2020 00:50,Los Angeles,USA,70,Male,14320,10147.572,15000,Unknown,Friday,Yes
M565AC49,UnionPay,Online Shopping,9418.00,25-01-2020 01:30,Los Angeles,USA,39,Female,8078,5724.672,10000,Unknown,Saturday,No
G301MY66,American Express,Education,7744.50,25-01-2020 01:31,Dubai,UAE,27,Female,29147,3999.374,20000,Mobile,Saturday,Yes
W772IF93,American Express,Transportation,3493.90,25-01-2020 07:33,New York,USA,56,Female,,3754.589,20000,,Saturday,No
W986OG88,Visa,,9579.30,25-01-2020 20:24,Tokyo,Japan,55,Male,8487,8511.339,10000,Point-of-Sale Terminal,Saturday,Yes
F974PA20,Mastercard,Online Shopping,7884.80,26-01-2020 01:11,New York,USA,75,Male,18461,,20000,Unknown,Sunday,Yes
B513SC80,UnionPay,Retail,8777.10,26-01-2020 11:54,Shanghai,China,19,Male,11605,8102.951,15000,Point-of-Sale Terminal,Sunday,Yes
I371NZ95,Visa,Transportation,8781.80,26-01-2020 17:20,Shanghai,China,23,Male,11509,9121.87,15000,Point-of-Sale Terminal,Sunday,Yes
I681UZ60,UnionPay,Online Shopping,5046.40,26-01-2020 17:46,Hong Kong,China,71,Male,11207,2884.504,10000,Unknown,Sunday,Yes
I251PP24,American Express,Education,5093.90,27-01-2020 01:09,Tokyo,Japan,29,Male,29394,5978.52,20000,Contactless Payment Device,Monday,Yes
X402DA54,Visa,Healthcare,8303.90,27-01-2020 10:31,Shanghai,China,46,Male,21940,8967.377,15000,Desktop,Monday,No
K604CJ49,Visa,Retail,3430.90,27-01-2020 12:15,Chicago,USA,27,Male,4245,1549.748,5000,Mobile,Monday,No
P325JV67,American Express,Online Shopping,7515.10,27-01-2020 17:20,Paris,France,33,Female,10354,4542.754,10000,Contactless Payment Device,Monday,Yes
P629KW45,Mastercard,Online Shopping,2923.40,28-01-2020 03:12,Shanghai,China,32,Male,5372,2285.901,5000,Point-of-Sale Terminal,Tuesday,Yes
V838XE87,Visa,Transportation,9824.40,28-01-2020 09:40,Berlin,Germany,48,Female,19622,4665.312,15000,Desktop,Tuesday,No
B680OU26,Visa,Online Shopping,3045.80,28-01-2020 11:00,Shanghai,China,33,Male,7087,2118.407,5000,Desktop,Tuesday,Yes
M488TN11,Visa,Retail,4211.90,28-01-2020 13:02,Shanghai,China,79,Male,5104,2999.145,5000,Unknown,Tuesday,Yes
L711MG54,Mastercard,Transportation,4948.90,29-01-2020 05:50,Berlin,Germany,53,Female,7334,3159.47,5000,Contactless Payment Device,Wednesday,No
I331NQ73,Mastercard,Healthcare,4716.90,29-01-2020 09:48,Berlin,Germany,69,Male,19092,5959.268,15000,Unknown,Wednesday,No
J589IX35,Mastercard,Education,11545.00,29-01-2020 15:43,Paris,France,30,Male,29734,7779.512,20000,Contactless Payment Device,Wednesday,Yes
Y918LC10,Visa,Online Shopping,8918.60,29-01-2020 18:01,New York,USA,63,Male,8878,9068.583,10000,Desktop,Wednesday,No
V410MS94,Mastercard,Utility bill,3138.50,29-01-2020 19:58,Los Angeles,USA,72,,14318,4250.938,10000,Unknown,Wednesday,No
Y870JQ80,American Express,Entertainment,5232.80,30-01-2020 12:58,Hong Kong,China,79,Female,20942,7295.433,15000,Mobile,Thursday,No
L762HZ82,American Express,Online Shopping,8862.30,30-01-2020 17:49,Dubai,UAE,46,Male,12836,9112.126,15000,Desktop,Thursday,No
L110RC83,Mastercard,Online Shopping,4917.40,31-01-2020 13:10,Shanghai,China,70,Male,5733,3789.376,5000,Unknown,Friday,No
S386WP36,Visa,Utility bill,6812.40,31-01-2020 15:18,Tokyo,Japan,72,Male,26496,8410.268,20000,Desktop,Friday,No
I151TX54,Visa,Retail,10197.40,31-01-2020 19:14,Shanghai,China,69,Male,15243,12692.017,15000,Unknown,Friday,No
X442WG47,Visa,Education,2854.20,01-02-2020 14:40,Berlin,Germany,72,Male,5053,1308.741,5000,Desktop,Saturday,Yes
R544AG64,Mastercard,Education,4460.80,01-02-2020 18:25,Berlin,Germany,49,Male,19251,4317.6,20000,Unknown,Saturday,No
U551GC63,Visa,Entertainment,4635.40,01-02-2020 23:12,Paris,France,45,Male,4300,4130.585,5000,Mobile,Saturday,No
N750IE14,UnionPay,Healthcare,3498.40,02-02-2020 00:25,New York,USA,23,Female,5539,2340.286,5000,Mobile,Sunday,Yes
P537BG67,Visa,Retail,4916.60,02-02-2020 07:35,Hong Kong,China,47,Female,6351,4088.603,5000,Contactless Payment Device,Sunday,Yes
R479RL47,Visa,Education,10961.40,02-02-2020 09:09,Los Angeles,USA,18,Female,29074,13129.722,20000,Point-of-Sale Terminal,Sunday,No
G646PM43,Mastercard,Healthcare,19007.00,02-02-2020 20:12,Shanghai,China,77,Male,19557,8788.724,20000,Unknown,Sunday,No
E552EK49,Visa,Retail,16447.10,03-02-2020 01:29,Shanghai,China,19,Female,15653,14133.054,20000,Point-of-Sale Terminal,Monday,No
D776FI76,Mastercard,Education,10712.10,03-02-2020 01:35,London,UK,41,Male,24755,12574.235,20000,Point-of-Sale Terminal,Monday,Yes
N325NP67,Mastercard,Retail,6314.70,03-02-2020 07:51,Dubai,UAE,41,Female,10473,4464.087,10000,Unknown,Monday,No
T968JV53,Visa,Education,2610.70,03-02-2020 11:27,Sydney,Australia,69,Male,4527,3647.687,5000,Desktop,Monday,No
Q380FH43,UnionPay,Online Shopping,3641.90,03-02-2020 18:49,Berlin,Germany,38,Female,6330,3977.633,5000,Desktop,Monday,No
T737ZJ47,Mastercard,Online Shopping,2728.30,03-02-2020 20:46,New York,USA,,Female,3811,1409.256,5000,Desktop,Monday,Yes
M204SY44,Visa,Retail,3432.60,04-02-2020 01:20,Dubai,UAE,45,Male,5953,1537.64,5000,Desktop,Tuesday,No
Q986NB47,Visa,Utility bill,9639.20,04-02-2020 04:56,London,UK,,Female,7230,6266.978,10000,Point-of-Sale Terminal,Tuesday,No
F884WH60,Visa,Transportation,4237.40,04-02-2020 04:59,Shanghai,China,53,Female,11591,4225.346,10000,Unknown,Tuesday,No
L507VL33,Visa,Utility bill,3182.20,04-02-2020 12:42,Paris,France,75,Female,4750,3963.098,5000,Point-of-Sale Terminal,Tuesday,No
S662PL46,Visa,Online Shopping,19799.90,04-02-2020 13:30,Hong Kong,China,64,Male,15306,17681.428,20000,Contactless Payment Device,Tuesday,No
W488MC30,American Express,Transportation,8635.70,04-02-2020 15:18,Los Angeles,USA,31,Male,14178,6268.018,15000,Contactless Payment Device,Tuesday,No
O941KF62,Mastercard,Education,3741.00,04-02-2020 23:14,Berlin,Germany,25,Female,7490,4339.737,5000,Contactless Payment Device,Tuesday,No
I268GA73,Visa,Entertainment,3365.20,05-02-2020 02:54,Tokyo,Japan,31,Male,21682,2137.149,15000,Point-of-Sale Terminal,Wednesday,No
D427WX32,Visa,Education,10485.40,05-02-2020 14:28,London,UK,29,Female,28141,11188.899,20000,Mobile,Wednesday,No
T829UY97,American Express,Transportation,3238.20,06-02-2020 02:56,New York,USA,52,Male,6477,,5000,Contactless Payment Device,Thursday,Yes
G684NG80,Visa,Online Shopping,9003.50,06-02-2020 06:19,Sydney,Australia,58,,,,10000,Unknown,Thursday,No
R235WJ69,Visa,Education,2962.70,06-02-2020 14:53,Hong Kong,China,53,Female,4170,2439.769,5000,Mobile,Thursday,No
A954MW38,Mastercard,Entertainment,5320.50,07-02-2020 02:50,Hong Kong,China,74,Female,11040,5085.407,10000,Contactless Payment Device,Friday,No
H888EC78,Visa,Retail,13350.00,07-02-2020 13:37,London,UK,69,Male,21627,14020.905,15000,Desktop,Friday,Yes
P899TU54,Mastercard,Online Shopping,11132.80,07-02-2020 14:05,New York,USA,31,Female,14853,13322.415,15000,Point-of-Sale Terminal,Friday,No
J176DW79,Visa,Utility bill,12806.50,07-02-2020 16:30,Tokyo,Japan,23,Male,20007,11313.357,15000,Desktop,Friday,No
Z155OK58,Mastercard,Retail,3393.30,07-02-2020 22:36,New York,USA,58,Female,4511,4059.587,5000,Point-of-Sale Terminal,Friday,No
Z509MC16,Mastercard,Entertainment,16917.80,08-02-2020 01:52,Tokyo,Japan,69,Male,16646,12016.055,20000,Point-of-Sale Terminal,Saturday,No
R477EM17,American Express,Healthcare,4611.30,08-02-2020 08:02,New York,USA,29,Male,14785,5388.156,15000,Desktop,Saturday,Yes
R836OJ58,Visa,Retail,14100.60,08-02-2020 16:44,Toronto,Canada,69,,25959,19027.255,20000,Point-of-Sale Terminal,Saturday,Yes
Y139HR66,Mastercard,Healthcare,10266.80,08-02-2020 16:49,Shanghai,China,20,Female,18903,6969.311,15000,Unknown,Saturday,No
Z209DK83,American Express,Online Shopping,14940.30,09-02-2020 16:52,London,UK,33,Female,29037,11181.659,20000,Contactless Payment Device,Sunday,Yes
H152QK19,Mastercard,Retail,7312.20,09-02-2020 20:28,Dubai,UAE,23,Female,10375,5217.074,10000,Mobile,Sunday,No
G905OZ76,Visa,Entertainment,3678.30,10-02-2020 02:32,New York,USA,20,Female,13187,2480.753,10000,Unknown,Monday,Yes
K972NX41,Mastercard,Online Shopping,6433.90,10-02-2020 10:01,New York,USA,63,Female,11240,4124.544,10000,Point-of-Sale Terminal,Monday,Yes
Q336DJ74,Mastercard,Transportation,14998.40,10-02-2020 14:54,London,UK,31,Male,20554,,15000,Contactless Payment Device,Monday,No
H924YS32,Visa,Online Shopping,19229.20,10-02-2020 19:53,New York,USA,80,Female,24315,19705.339,20000,Point-of-Sale Terminal,Monday,No
Y925UX29,Visa,Healthcare,6366.50,11-02-2020 21:32,Sydney,Australia,44,Female,27075,6089.267,20000,Mobile,Tuesday,No
I347ZQ67,Visa,Online Shopping,4289.40,12-02-2020 12:50,London,UK,65,Male,17619,4808.555,20000,Contactless Payment Device,Wednesday,No
F830TS66,Visa,Online Shopping,5053.40,12-02-2020 13:27,Shanghai,China,46,Male,8334,3761.051,10000,Contactless Payment Device,Wednesday,Yes
M951ZE63,American Express,Healthcare,19470.40,12-02-2020 15:05,Hong Kong,China,21,Female,27238,18084.252,20000,Desktop,Wednesday,No
F938QT47,Visa,Retail,4454.60,13-02-2020 03:46,London,UK,78,Female,28836,4177.486,20000,Unknown,Thursday,No
D539ZE82,American Express,Education,3645.30,13-02-2020 17:22,Hong Kong,China,29,Female,6300,3243.187,5000,Contactless Payment Device,Thursday,No
A800FX92,American Express,Online Shopping,4351.10,13-02-2020 19:30,London,UK,69,Female,4381,4183.678,5000,Contactless Payment Device,Thursday,No
B517MF24,Visa,Utility bill,8982.40,13-02-2020 19:47,New York,USA,72,Female,8504,5492.12,10000,Mobile,Thursday,No
N344IC91,Visa,Entertainment,14317.70,13-02-2020 23:44,New York,USA,56,Male,23098,19341.945,20000,Mobile,Thursday,No
B315XO41,Mastercard,Online Shopping,2780.00,14-02-2020 05:16,Berlin,Germany,50,Female,6137,,5000,Contactless Payment Device,Friday,Yes
G592DO18,UnionPay,Retail,2623.30,14-02-2020 21:06,New York,USA,76,Female,26844,2562.89,20000,Desktop,Friday,No
Q664LH26,American Express,Online Shopping,9756.70,15-02-2020 04:27,Berlin,Germany,58,Male,10618,5535.532,10000,Mobile,Saturday,No
B949FD57,Mastercard,Transportation,4986.00,15-02-2020 10:02,Berlin,Germany,68,Male,15980,6133.467,15000,Mobile,Saturday,No
U969SJ72,Mastercard,Online Shopping,8862.00,16-02-2020 06:13,Shanghai,China,73,Male,14811,6169.518,10000,Point-of-Sale Terminal,Sunday,No
J862UV12,American Express,Healthcare,4310.50,16-02-2020 12:20,Chicago,USA,23,Male,3783,3179.786,5000,Point-of-Sale Terminal,Sunday,No
M258TO17,Visa,Education,2882.40,16-02-2020 21:37,Shanghai,China,64,Female,7344,2071.864,10000,Desktop,Sunday,Yes
Q514RR67,Visa,Online Shopping,5556.80,17-02-2020 00:32,Los Angeles,USA,32,Female,18956,7476.4,15000,Point-of-Sale Terminal,Monday,No
O223DN32,Mastercard,Retail,18256.20,17-02-2020 22:27,Tokyo,Japan,44,Female,26505,11719.621,20000,Point-of-Sale Terminal,Monday,No
I604FC84,Visa,Retail,3635.80,18-02-2020 15:37,New York,USA,28,Female,7212,2463.549,5000,Mobile,Tuesday,No
D643UY46,American Express,Retail,4063.80,18-02-2020 21:48,New York,USA,44,Male,5914,3590.999,5000,Desktop,Tuesday,No
K849KK93,Visa,Retail,4218.10,19-02-2020 18:41,Berlin,Germany,44,Female,5071,2134.272,5000,Point-of-Sale Terminal,Wednesday,No
V187NS90,American Express,Transportation,2998.60,19-02-2020 19:49,London,UK,61,Female,17976,3361.693,15000,Desktop,Wednesday,No
J587TY42,American Express,Dining,5651.60,20-02-2020 04:42,New York,USA,30,Male,,7460.117,20000,Contactless Payment Device,Thursday,Yes
J120MM21,Mastercard,Online Shopping,14375.60,20-02-2020 09:52,Berlin,Germany,66,Female,16460,14398.056,15000,Unknown,Thursday,No
O779MM56,Visa,Retail,5657.80,20-02-2020 10:47,New York,USA,40,Female,13382,5135.291,10000,Point-of-Sale Terminal,Thursday,No
S982AK36,Mastercard,Transportation,3353.90,20-02-2020 23:40,London,UK,32,Male,12382,3303.564,10000,Mobile,Thursday,No
Z203PJ62,Mastercard,Online Shopping,3717.60,21-02-2020 02:15,London,UK,39,Female,6689,4816.226,5000,Point-of-Sale Terminal,Friday,No
Q999DW46,Mastercard,Entertainment,13633.50,21-02-2020 10:17,Shanghai,China,41,Female,13273,6581.418,15000,Desktop,Friday,Yes
R845PH57,Mastercard,Online Shopping,15829.40,21-02-2020 11:34,Chicago,USA,37,Female,29735,17028.215,20000,Contactless Payment Device,Friday,Yes
Q715QC49,American Express,Healthcare,3401.10,21-02-2020 18:42,Los Angeles,USA,56,Female,7229,3590.622,5000,Unknown,Friday,No
N562PH25,Visa,Education,17567.30,21-02-2020 19:21,Toronto,Canada,54,Female,27562,11410.015,20000,Contactless Payment Device,Friday,Yes
P519WE50,American Express,Online Shopping,10531.70,21-02-2020 20:24,Tokyo,Japan,57,Female,11291,13130.766,15000,Mobile,Friday,No
M461VI24,Mastercard,Healthcare,4726.20,21-02-2020 21:52,Tokyo,Japan,40,Male,7069,2773.243,5000,Contactless Payment Device,Friday,No
B656PY16,Mastercard,Dining,3444.00,21-02-2020 23:29,Hong Kong,China,66,Female,4288,2867.521,5000,Desktop,Friday,No
L549XR71,American Express,Education,14363.40,22-02-2020 00:31,Shanghai,China,19,Male,21671,12544.118,15000,Mobile,Saturday,Yes
G136ZW72,UnionPay,Entertainment,4064.00,22-02-2020 03:54,Paris,France,21,Female,7061,3067.116,5000,Point-of-Sale Terminal,Saturday,No
Z950XJ69,Visa,Online Shopping,8567.50,22-02-2020 08:36,Shanghai,China,30,Female,21076,10490.482,20000,Unknown,Saturday,No
E303WR81,UnionPay,Transportation,5052.50,22-02-2020 13:13,Toronto,Canada,77,Female,11933,4881.628,15000,Unknown,Saturday,Yes
A407VK69,Visa,Healthcare,9315.00,23-02-2020 10:15,New York,USA,25,Female,13054,9877.592,15000,Mobile,Sunday,No
C968AF54,Visa,Dining,3208.70,23-02-2020 11:15,Paris,France,74,Female,12602,1654.766,10000,Unknown,Sunday,No
G547KH15,Visa,Education,5367.50,23-02-2020 13:43,Shanghai,China,55,Male,22027,2661.174,20000,Unknown,Sunday,No
P968ZJ54,Visa,Dining,14175.20,24-02-2020 02:10,Shanghai,China,33,Female,12468,,15000,Desktop,Monday,No
Q427ND59,American Express,Online Shopping,3464.40,24-02-2020 15:44,London,UK,19,Female,4666,4219.726,5000,Point-of-Sale Terminal,Monday,Yes
L248YK30,Mastercard,Utility bill,4009.70,24-02-2020 20:56,Tokyo,Japan,54,Female,,2236.95,5000,Unknown,Monday,No
G149CV39,Mastercard,Education,7844.50,25-02-2020 14:43,Toronto,Canada,38,Male,11519,,10000,Point-of-Sale Terminal,Tuesday,No
J147HJ35,Visa,Entertainment,8963.10,26-02-2020 03:39,Chicago,USA,66,Female,14098,7390.722,10000,Desktop,Wednesday,Yes
D375HY49,Visa,Online Shopping,6374.60,26-02-2020 09:02,Hong Kong,China,62,Male,13852,5483.388,10000,Contactless Payment Device,Wednesday,No
O248NS97,Visa,Entertainment,4708.90,26-02-2020 11:11,Paris,France,48,Female,4921,,5000,Unknown,Wednesday,No
J527LV63,American Express,Transportation,14427.70,26-02-2020 11:19,New York,USA,24,Female,19299,11334.366,15000,Desktop,Wednesday,Yes
X393ZC74,Visa,Retail,9434.40,26-02-2020 14:16,Dubai,UAE,48,Male,,10543.383,15000,Desktop,Wednesday,No
W336RF71,Visa,Retail,3151.60,26-02-2020 17:37,Paris,France,73,Female,4513,2153.33,5000,Contactless Payment Device,Wednesday,Yes
G144GP50,American Express,Transportation,19702.90,27-02-2020 19:26,Berlin,Germany,48,Male,24504,15878.155,20000,Desktop,Thursday,Yes
K930AO77,Mastercard,Online Shopping,5967.50,27-02-2020 20:53,London,UK,57,Female,15893,8026.564,15000,Point-of-Sale Terminal,Thursday,No
Q428VJ28,Mastercard,Online Shopping,13438.80,27-02-2020 22:17,Hong Kong,China,55,Female,14326,14267.534,20000,Contactless Payment Device,Thursday,Yes
P414KO76,Visa,Transportation,5599.50,28-02-2020 07:44,Los Angeles,USA,62,Male,10501,5419.179,15000,Mobile,Friday,Yes
W798MA88,American Express,Entertainment,14629.60,28-02-2020 12:58,Hong Kong,China,36,Female,13253,13592.307,15000,Point-of-Sale Terminal,Friday,No
V505LH24,Visa,Healthcare,3329.90,28-02-2020 16:38,Paris,France,39,Female,,1671.709,20000,Desktop,Friday,No
F636UY28,Visa,Retail,14520.90,28-02-2020 21:24,Sydney,Australia,62,Female,18679,10257.788,15000,Unknown,Friday,No
Y636LB95,Visa,Retail,2724.20,28-02-2020 21:28,Shanghai,China,66,Male,6050,2949.217,5000,Mobile,Friday,No
G678CY92,Mastercard,Utility bill,4221.50,29-02-2020 04:25,New York,USA,21,Female,21107,5627.833,20000,Desktop,Saturday,No
I872QF88,Visa,Retail,4273.40,29-02-2020 06:46,Dubai,UAE,52,Female,,3243.507,5000,Point-of-Sale Terminal,Saturday,Yes
L393CD65,Mastercard,Online Shopping,17301.00,29-02-2020 10:54,Dubai,UAE,25,Female,19802,10347.332,20000,Point-of-Sale Terminal,Saturday,No
A643RU36,Visa,Entertainment,4943.50,29-02-2020 10:59,Toronto,Canada,45,Male,14855,5476.33,15000,Unknown,Saturday,No
R412DJ71,American Express,Retail,3548.50,29-02-2020 14:33,New York,USA,26,Male,7880,2196.803,10000,Point-of-Sale Terminal,Saturday,Yes
M627QE93,Mastercard,Transportation,6183.60,01-03-2020 22:29,Berlin,Germany,43,Male,24175,4447.042,20000,Unknown,Sunday,Yes
K379XK44,Visa,Utility bill,9060.40,02-03-2020 02:44,Berlin,Germany,72,Female,8219,4771.386,10000,Point-of-Sale Terminal,Monday,No
X482LP25,UnionPay,Education,11890.70,02-03-2020 04:15,Shanghai,China,22,Male,21183,10825.241,15000,Contactless Payment Device,Monday,No
B314OH38,Mastercard,Healthcare,13734.10,02-03-2020 12:42,Tokyo,Japan,79,Male,22118,11060.419,15000,Mobile,Monday,No
